Start date;End date;Germany/Luxembourg [€/MWh] Calculated resolutions;∅ DE/LU neighbours [€/MWh] Calculated resolutions;Belgium [€/MWh] Calculated resolutions;Denmark 1 [€/MWh] Calculated resolutions;Denmark 2 [€/MWh] Calculated resolutions;France [€/MWh] Calculated resolutions;Netherlands [€/MWh] Calculated resolutions;Norway 2 [€/MWh] Calculated resolutions;Austria [€/MWh] Calculated resolutions;Poland [€/MWh] Calculated resolutions;Sweden 4 [€/MWh] Calculated resolutions;Switzerland [€/MWh] Calculated resolutions;Czech Republic [€/MWh] Calculated resolutions;DE/AT/LU [€/MWh] Calculated resolutions;Northern Italy [€/MWh] Calculated resolutions;Slovenia [€/MWh] Calculated resolutions;Hungary [€/MWh] Calculated resolutions
Jan 1, 2022;Jan 2, 2022;82.58;89.31;85.68;82.41;82.17;87.08;93.51;127.15;84.08;83.29;82.17;92.28;82.58;-;150.69;84.08;83.07
Jan 2, 2022;Jan 3, 2022;47.35;63.36;50.62;55.69;53.31;49.12;58.81;114.39;55.83;76.50;53.31;72.68;56.71;-;166.91;55.83;92.04
Jan 3, 2022;Jan 4, 2022;76.11;94.90;79.40;78.20;71.81;92.12;98.38;129.29;84.13;92.11;73.53;155.74;89.24;-;192.66;164.63;100.26
Jan 4, 2022;Jan 5, 2022;153.92;150.50;156.28;140.98;132.99;156.30;162.67;147.31;154.55;146.73;132.98;170.80;153.92;-;165.73;154.56;166.22
Jan 5, 2022;Jan 6, 2022;107.87;139.73;155.75;108.69;108.59;185.56;185.32;133.39;132.30;118.57;108.59;178.21;122.07;-;192.54;133.42;132.00
Jan 6, 2022;Jan 7, 2022;194.10;195.84;216.73;188.03;180.25;225.77;222.10;185.99;201.62;148.11;170.99;220.54;194.10;-;225.75;201.62;199.90
Jan 7, 2022;Jan 8, 2022;167.18;176.77;185.13;157.72;157.73;215.92;204.28;158.60;180.94;130.23;157.73;227.71;168.54;-;233.52;183.57;187.36
Jan 8, 2022;Jan 9, 2022;165.90;169.18;175.36;145.77;145.87;176.56;184.68;145.40;177.54;171.22;145.87;221.48;171.29;-;234.47;182.86;181.30
Jan 9, 2022;Jan 10, 2022;146.56;150.35;147.50;131.53;131.53;150.28;153.73;142.52;172.64;134.41;131.53;211.14;147.03;-;213.28;188.28;176.34
Jan 10, 2022;Jan 11, 2022;261.55;249.66;261.17;244.50;246.73;261.25;259.11;193.68;261.47;242.88;246.73;267.18;261.55;-;261.38;261.26;261.55
Jan 11, 2022;Jan 12, 2022;255.41;229.43;251.96;155.98;224.34;253.96;240.89;151.46;254.75;252.17;224.34;259.49;254.35;-;253.93;254.53;254.49
Jan 12, 2022;Jan 13, 2022;233.32;201.35;236.66;129.61;151.20;237.20;229.04;138.55;234.34;224.08;151.20;249.98;232.96;-;236.95;234.24;234.04
Jan 13, 2022;Jan 14, 2022;180.16;140.09;216.60;18.54;18.54;223.70;189.65;127.34;196.67;118.72;18.54;233.82;178.87;-;225.25;207.37;219.53
Jan 14, 2022;Jan 15, 2022;178.76;154.33;215.89;87.98;75.65;233.58;186.00;129.76;199.62;110.24;55.21;224.95;178.76;-;232.83;216.22;206.93
Jan 15, 2022;Jan 16, 2022;215.99;191.12;217.60;170.22;170.22;220.50;210.00;155.90;216.98;172.55;126.74;229.69;211.97;-;220.87;216.98;214.87
Jan 16, 2022;Jan 17, 2022;133.10;139.23;202.32;95.26;40.93;212.55;199.89;127.73;188.06;104.73;18.36;207.85;133.80;-;213.05;206.59;209.25
Jan 17, 2022;Jan 18, 2022;129.31;159.55;204.71;83.26;80.97;261.13;204.29;132.33;184.39;97.28;80.97;252.39;173.32;-;246.97;209.09;211.29
Jan 18, 2022;Jan 19, 2022;235.87;202.51;240.35;162.50;152.40;244.83;223.31;161.58;237.56;178.76;148.67;241.81;235.87;-;244.83;238.05;237.50
Jan 19, 2022;Jan 20, 2022;172.18;147.47;195.54;52.47;33.89;236.03;180.53;135.65;203.93;130.20;33.89;228.19;191.84;-;237.33;233.40;227.17
Jan 20, 2022;Jan 21, 2022;117.70;143.05;178.31;69.85;66.19;228.02;160.52;130.24;179.90;107.65;66.19;226.73;159.99;-;228.02;211.16;193.43
Jan 21, 2022;Jan 22, 2022;159.27;157.53;191.79;132.77;110.82;216.69;168.28;137.74;177.04;108.37;110.69;218.61;160.06;-;217.45;209.43;209.36
Jan 22, 2022;Jan 23, 2022;175.76;175.14;192.50;157.50;165.47;202.74;176.82;138.81;190.76;160.67;164.29;201.19;175.76;-;204.63;197.42;194.43
Jan 23, 2022;Jan 24, 2022;193.70;169.35;195.22;140.20;140.20;196.97;192.48;136.14;194.41;159.11;115.05;199.40;193.70;-;197.38;194.41;202.60
Jan 24, 2022;Jan 25, 2022;245.94;187.47;244.06;130.66;61.88;247.00;242.93;134.20;246.19;202.14;61.88;245.32;245.94;-;246.48;246.19;246.20
Jan 25, 2022;Jan 26, 2022;297.29;231.40;291.16;175.28;149.53;295.11;276.95;154.84;296.85;188.71;149.53;270.31;297.10;-;295.11;296.85;299.13
Jan 26, 2022;Jan 27, 2022;234.98;188.60;225.84;104.90;92.10;275.45;222.96;130.30;246.75;173.97;92.10;270.25;239.92;-;275.45;262.63;295.12
Jan 27, 2022;Jan 28, 2022;120.71;150.56;200.25;33.39;33.39;262.15;200.08;126.41;193.02;111.38;33.39;274.18;188.53;-;265.25;264.98;257.24
Jan 28, 2022;Jan 29, 2022;174.35;173.81;217.75;115.81;112.95;250.65;212.15;135.99;205.07;111.92;101.00;251.09;197.47;-;260.80;242.78;244.53
Jan 29, 2022;Jan 30, 2022;92.13;125.32;112.46;70.67;38.62;218.90;159.77;107.61;161.19;124.32;17.20;228.03;139.70;-;242.04;221.35;233.40
Jan 30, 2022;Jan 31, 2022;55.30;126.74;186.48;52.68;34.84;223.55;168.39;120.67;141.42;75.73;31.14;230.00;129.23;-;218.72;218.72;156.82
Jan 31, 2022;Feb 1, 2022;195.20;197.84;202.44;184.79;195.20;213.48;194.60;162.90;205.35;202.63;175.03;239.14;200.66;-;232.89;216.38;220.47
Feb 1, 2022;Feb 2, 2022;150.25;178.50;201.33;137.44;141.62;213.76;191.70;143.79;207.44;152.80;142.86;227.36;203.45;-;244.87;241.39;212.66
Feb 2, 2022;Feb 3, 2022;140.22;169.99;181.46;132.03;135.83;205.81;177.12;135.36;193.21;141.97;139.70;234.29;193.08;-;215.78;210.47;250.30
Feb 3, 2022;Feb 4, 2022;193.56;186.01;192.68;173.64;178.13;205.97;183.75;147.61;197.93;180.67;176.43;215.60;193.65;-;213.81;208.06;213.13
Feb 4, 2022;Feb 5, 2022;132.37;154.86;179.86;119.26;118.13;192.81;174.78;123.43;193.70;148.78;57.61;210.91;184.15;-;232.72;237.81;230.38
Feb 5, 2022;Feb 6, 2022;88.89;110.44;104.60;49.59;28.09;193.28;130.43;115.73;153.73;101.22;23.63;196.07;118.50;-;225.21;217.07;229.03
Feb 6, 2022;Feb 7, 2022;52.78;99.73;62.36;53.38;47.00;136.96;121.10;111.54;135.12;93.99;40.32;200.60;94.64;-;205.62;204.49;184.20
Feb 7, 2022;Feb 8, 2022;84.68;144.64;188.31;81.20;80.84;205.50;155.26;121.81;183.26;107.65;80.37;203.75;183.08;-;208.46;193.75;190.24
Feb 8, 2022;Feb 9, 2022;137.81;142.21;176.89;114.21;89.45;202.53;167.79;122.91;157.99;126.06;37.32;213.04;156.15;-;206.49;160.91;177.78
Feb 9, 2022;Feb 10, 2022;165.89;153.61;191.76;117.47;102.89;209.29;175.82;120.69;186.77;127.80;57.14;219.76;180.35;-;220.58;215.70;210.89
Feb 10, 2022;Feb 11, 2022;192.82;160.96;202.91;130.34;130.34;204.92;188.56;124.10;196.00;133.36;55.06;212.16;192.82;-;213.88;211.52;215.55
Feb 11, 2022;Feb 12, 2022;184.58;172.42;193.27;177.00;177.15;206.96;181.68;127.87;192.83;134.39;105.51;212.47;187.50;-;221.08;220.53;210.83
Feb 12, 2022;Feb 13, 2022;143.05;135.89;152.28;108.79;104.12;190.93;164.09;111.93;160.44;126.99;34.02;195.18;145.96;-;191.49;181.38;172.98
Feb 13, 2022;Feb 14, 2022;83.58;100.50;85.62;82.28;33.25;150.26;137.04;102.78;134.64;84.07;17.28;181.91;96.41;-;197.22;188.20;151.88
Feb 14, 2022;Feb 15, 2022;102.22;137.14;155.51;88.82;67.39;187.27;175.76;108.60;178.00;97.68;67.39;207.95;174.13;-;211.41;208.26;222.48
Feb 15, 2022;Feb 16, 2022;155.00;147.71;181.64;108.81;60.83;193.45;202.10;112.68;195.76;119.37;60.83;210.40;178.95;-;211.41;211.03;209.18
Feb 16, 2022;Feb 17, 2022;117.38;131.47;125.67;107.07;74.79;152.46;163.79;109.97;183.09;98.44;74.37;200.80;155.72;-;221.78;214.54;207.24
Feb 17, 2022;Feb 18, 2022;68.64;107.33;105.87;68.52;60.48;132.70;112.38;101.75;140.54;91.98;60.48;190.13;115.84;-;182.74;153.09;179.99
Feb 18, 2022;Feb 19, 2022;117.63;126.87;156.85;105.51;76.36;158.69;180.55;109.74;134.35;97.08;73.02;184.14;119.23;-;200.98;164.56;154.29
Feb 19, 2022;Feb 20, 2022;39.62;89.00;82.84;39.62;35.62;115.95;95.72;101.63;100.11;86.91;39.25;181.77;99.59;-;178.97;129.42;149.64
Feb 20, 2022;Feb 21, 2022;67.28;95.44;97.18;67.28;53.42;94.34;117.59;99.93;96.96;90.52;54.43;182.96;95.21;-;182.49;114.47;126.95
Feb 21, 2022;Feb 22, 2022;75.42;114.76;145.80;74.06;61.56;153.67;152.38;106.28;115.74;92.14;62.72;192.03;105.94;-;187.99;179.88;138.62
Feb 22, 2022;Feb 23, 2022;123.24;139.21;159.88;123.24;114.07;175.00;166.25;121.24;137.63;111.66;113.01;181.93;127.36;-;186.61;148.99;141.54
Feb 23, 2022;Feb 24, 2022;130.09;138.16;173.94;104.74;93.84;189.38;163.79;109.81;147.91;111.31;93.84;194.61;136.63;-;194.44;162.18;180.04
Feb 24, 2022;Feb 25, 2022;123.39;133.85;162.15;108.74;72.25;187.14;174.48;116.14;140.92;107.99;63.69;211.73;127.07;-;218.27;157.35;178.49
